financialdata_symbol,financialdata_ticker,financialdata_exchange,financialdata_name,financialdata_review_scope,official_ticker,official_exchange,official_name,official_isin,official_source_key,official_reference_scope,decision,reason,financialdata_review_queue,review_priority,review_strategy,apply_eligibility,verification_evidence_required,recommended_next_source,source_gate,financialdata_discovery_context,official_identity_context,supplement_review_context
FBND.L,FBND,LSE,Fubon Financial Holding Company,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=LSE;financialdata_ticker=FBND;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
FDM.L,FDM,LSE,FDM Group Limited,current_exchange_gap,FDM,LSE,FDM GROUP (HOLDINGS) PLC,GB00BLWDVP51,lse_price_explorer,exchange_directory,skip,ticker_already_exists_globally,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,identity_resolution_before_any_global_ticker_reuse,Listing-keyed identity-resolution evidence before considering any global ticker reuse.,Do not reuse a global ticker without listing-keyed identity resolution.,financialdata_exchange=LSE;financialdata_ticker=FDM;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=FDM;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=ticker_already_exists_globally;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=identity_resolution_before_any_global_ticker_reuse
FLTR.L,FLTR,LSE,Flutter Entertainment plc,current_exchange_gap,FLTR,LSE,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,lse_price_explorer,exchange_directory,skip,ticker_already_exists_globally,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,identity_resolution_before_any_global_ticker_reuse,Listing-keyed identity-resolution evidence before considering any global ticker reuse.,Do not reuse a global ticker without listing-keyed identity resolution.,financialdata_exchange=LSE;financialdata_ticker=FLTR;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=FLTR;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=ticker_already_exists_globally;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=identity_resolution_before_any_global_ticker_reuse
FSTA.L,FSTA,LSE,"Fuller, Smith & Turner PLC",current_exchange_gap,FSTA,LSE,"FULLER, SMITH & TURNER PLC",GB00B1YPC344,lse_price_explorer,exchange_directory,skip,ticker_already_exists_globally,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,identity_resolution_before_any_global_ticker_reuse,Listing-keyed identity-resolution evidence before considering any global ticker reuse.,Do not reuse a global ticker without listing-keyed identity resolution.,financialdata_exchange=LSE;financialdata_ticker=FSTA;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=FSTA;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=ticker_already_exists_globally;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=identity_resolution_before_any_global_ticker_reuse
GRTB.L,GRTB,LSE,Guaranty Trust Holding Company plc,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=LSE;financialdata_ticker=GRTB;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
GSK.L,GSK,LSE,GSK plc,current_exchange_gap,GSK,LSE,GSK PLC,GB00BN7SWP63,lse_price_explorer,exchange_directory,skip,isin_already_exists_in_database,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review,Existing database ISIN evidence plus cross-listing review before any supplemental listing.,Do not duplicate an existing database ISIN without explicit cross-listing review.,financialdata_exchange=LSE;financialdata_ticker=GSK;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=GSK;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=isin_already_exists_in_database;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review
HBR.L,HBR,LSE,Harbour Energy plc,current_exchange_gap,HBR,LSE,HARBOUR ENERGY PLC,GB00BMBVGQ36,lse_price_explorer,exchange_directory,skip,ticker_already_exists_globally,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,identity_resolution_before_any_global_ticker_reuse,Listing-keyed identity-resolution evidence before considering any global ticker reuse.,Do not reuse a global ticker without listing-keyed identity resolution.,financialdata_exchange=LSE;financialdata_ticker=HBR;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=HBR;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=ticker_already_exists_globally;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=identity_resolution_before_any_global_ticker_reuse
HET.L,HET,LSE,Henderson European Trust,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=LSE;financialdata_ticker=HET;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
HKLD.L,HKLD,LSE,Hongkong Land Holdings Limited,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=LSE;financialdata_ticker=HKLD;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
HSS.L,HSS,LSE,HSS Hire Group plc,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=LSE;financialdata_ticker=HSS;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
ICG.L,ICG,LSE,ICG plc,current_exchange_gap,ICG,LSE,ICG PLC,GB00BYT1DJ19,lse_price_explorer,exchange_directory,skip,isin_already_exists_in_database,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review,Existing database ISIN evidence plus cross-listing review before any supplemental listing.,Do not duplicate an existing database ISIN without explicit cross-listing review.,financialdata_exchange=LSE;financialdata_ticker=ICG;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=ICG;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=isin_already_exists_in_database;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review
IHG.L,IHG,LSE,InterContinental Hotels Group plc,current_exchange_gap,IHG,LSE,INTERCONTINENTAL HOTELS GROUP PLC,GB00BHJYC057,lse_price_explorer,exchange_directory,skip,isin_already_exists_in_database,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review,Existing database ISIN evidence plus cross-listing review before any supplemental listing.,Do not duplicate an existing database ISIN without explicit cross-listing review.,financialdata_exchange=LSE;financialdata_ticker=IHG;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=IHG;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=isin_already_exists_in_database;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review
IPO.L,IPO,LSE,IP Group plc,current_exchange_gap,IPO,LSE,IP GROUP PLC,GB00B128J450,lse_price_explorer,exchange_directory,skip,ticker_already_exists_globally,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,identity_resolution_before_any_global_ticker_reuse,Listing-keyed identity-resolution evidence before considering any global ticker reuse.,Do not reuse a global ticker without listing-keyed identity resolution.,financialdata_exchange=LSE;financialdata_ticker=IPO;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=IPO;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=ticker_already_exists_globally;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=identity_resolution_before_any_global_ticker_reuse
IPX.L,IPX,LSE,Impax Asset Management Group plc,current_exchange_gap,IPX,LSE,IMPAX ASSET MANAGEMENT GROUP PLC,GB0004905260,lse_price_explorer,exchange_directory,skip,isin_already_exists_in_database,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review,Existing database ISIN evidence plus cross-listing review before any supplemental listing.,Do not duplicate an existing database ISIN without explicit cross-listing review.,financialdata_exchange=LSE;financialdata_ticker=IPX;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=IPX;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=isin_already_exists_in_database;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review
JARB.L,JARB,LSE,Jardine Matheson Holdings Limited,current_exchange_gap,JARB,LSE,JARDINE MATHESON HOLDINGS LD,BMG507361001,lse_price_explorer,exchange_directory,skip,isin_already_exists_in_database,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review,Existing database ISIN evidence plus cross-listing review before any supplemental listing.,Do not duplicate an existing database ISIN without explicit cross-listing review.,financialdata_exchange=LSE;financialdata_ticker=JARB;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=JARB;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=isin_already_exists_in_database;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review
JUST.L,JUST,LSE,Just Group plc,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=LSE;financialdata_ticker=JUST;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
KIE.L,KIE,LSE,Kier Group plc,current_exchange_gap,KIE,LSE,KIER GROUP PLC,GB0004915632,lse_price_explorer,exchange_directory,skip,ticker_already_exists_globally,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,identity_resolution_before_any_global_ticker_reuse,Listing-keyed identity-resolution evidence before considering any global ticker reuse.,Do not reuse a global ticker without listing-keyed identity resolution.,financialdata_exchange=LSE;financialdata_ticker=KIE;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=KIE;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=ticker_already_exists_globally;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=identity_resolution_before_any_global_ticker_reuse
KTCD.L,KTCD,LSE,KT Corporation,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=LSE;financialdata_ticker=KTCD;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
LNTA.L,LNTA,LSE,Lenta,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=LSE;financialdata_ticker=LNTA;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
LRE.L,LRE,LSE,Lancashire Holdings,current_exchange_gap,LRE,LSE,LANCASHIRE HOLDINGS LIMITED,BMG5361W1047,lse_price_explorer,exchange_directory,skip,isin_already_exists_in_database,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review,Existing database ISIN evidence plus cross-listing review before any supplemental listing.,Do not duplicate an existing database ISIN without explicit cross-listing review.,financialdata_exchange=LSE;financialdata_ticker=LRE;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=LRE;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=isin_already_exists_in_database;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review
MARS.L,MARS,LSE,Marston's plc,current_exchange_gap,MARS,LSE,MARSTON'S PLC,GB00B1JQDM80,lse_price_explorer,exchange_directory,skip,ticker_already_exists_globally,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,identity_resolution_before_any_global_ticker_reuse,Listing-keyed identity-resolution evidence before considering any global ticker reuse.,Do not reuse a global ticker without listing-keyed identity resolution.,financialdata_exchange=LSE;financialdata_ticker=MARS;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=MARS;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=ticker_already_exists_globally;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=identity_resolution_before_any_global_ticker_reuse
MGAM.L,MGAM,LSE,Morgan Advanced Materials plc,current_exchange_gap,MGAM,LSE,MORGAN ADVANCED MATERIALS PLC,GB0006027295,lse_price_explorer,exchange_directory,skip,isin_already_exists_in_database,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review,Existing database ISIN evidence plus cross-listing review before any supplemental listing.,Do not duplicate an existing database ISIN without explicit cross-listing review.,financialdata_exchange=LSE;financialdata_ticker=MGAM;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=MGAM;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=isin_already_exists_in_database;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review
NGG.L,NGG,LSE,National Grid plc,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=LSE;financialdata_ticker=NGG;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
NMB.L,NMB,LSE,NMB Bank Limited,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=LSE;financialdata_ticker=NMB;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
PEY.L,PEY,LSE,Partners Group Private Equity,current_exchange_gap,PEY,LSE,PARTNERS GROUP PRIVATE EQUITY LIMITED,GG00B28C2R28,lse_price_explorer,exchange_directory,skip,ticker_already_exists_globally,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,identity_resolution_before_any_global_ticker_reuse,Listing-keyed identity-resolution evidence before considering any global ticker reuse.,Do not reuse a global ticker without listing-keyed identity resolution.,financialdata_exchange=LSE;financialdata_ticker=PEY;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=PEY;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=ticker_already_exists_globally;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=identity_resolution_before_any_global_ticker_reuse
PHNX.L,PHNX,LSE,Phoenix Group Holdings plc,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=LSE;financialdata_ticker=PHNX;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
PPH.L,PPH,LSE,PPHE Hotel Group,current_exchange_gap,PPH,LSE,PPHE HOTEL GROUP LIMITED,GG00B1Z5FH87,lse_price_explorer,exchange_directory,skip,ticker_already_exists_globally,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,identity_resolution_before_any_global_ticker_reuse,Listing-keyed identity-resolution evidence before considering any global ticker reuse.,Do not reuse a global ticker without listing-keyed identity resolution.,financialdata_exchange=LSE;financialdata_ticker=PPH;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=PPH;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=ticker_already_exists_globally;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=identity_resolution_before_any_global_ticker_reuse
PRN.L,PRN,LSE,Princes Group plc,current_exchange_gap,PRN,LSE,PRINCES GROUP PLC,GB00BVZNY531,lse_price_explorer,exchange_directory,skip,ticker_already_exists_globally,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,identity_resolution_before_any_global_ticker_reuse,Listing-keyed identity-resolution evidence before considering any global ticker reuse.,Do not reuse a global ticker without listing-keyed identity resolution.,financialdata_exchange=LSE;financialdata_ticker=PRN;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=PRN;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=ticker_already_exists_globally;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=identity_resolution_before_any_global_ticker_reuse
PRSR.L,PRSR,LSE,PRS REIT,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=LSE;financialdata_ticker=PRSR;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
