ticker,exchange,asset_type,name,nyse_symbol,nyse_issuer_name,nyse_issue_name,nyse_instrument_type,nyse_isin,nyse_asset_class,nyse_strategy,isin_update,category_update,decision
TPTA,NYSE,Stock,"Terra Property Trust, Inc. 6.00%",,,,,,,,,,no_nyse_sample_match
TRGS,NASDAQ,Stock,TRG Latin America Acquisitions Corp.,,,,,,,,,,no_nyse_sample_match
TRPA,BATS,ETF,HARTFORD AAA CLO ETF,,,,,,,,,,no_nyse_sample_match
TSCV,NYSE ARCA,ETF,Thrivent ETF Trust,,,,,,,,,,no_nyse_sample_match
TSEC,NYSE ARCA,ETF,Touchstone ETF Trust,TSEC,Touchstone ETF Trust,Touchstone Securitized Income ETF,ETF,US89157W7074,FIXED_INCOME,ACTIVE,US89157W7074,,accept_isin
TSUI,NASDAQ,ETF,21shares Sui ETF Common Shares of Beneficial Interest Shares,,,,,,,,,,no_nyse_sample_match
TTE,NYSE,Stock,TotalEnergies SE Ordinary Shares,,,,,,,,,,name_mismatch
TUSB,NYSE ARCA,ETF,Thrivent ETF Trust,,,,,,,,,,no_nyse_sample_match
TVC,NYSE,Stock,Tennessee Valley Authority Common Stock,,,,,,,,,,name_mismatch
TWLV,NASDAQ,Stock,Twelve Seas Investment Company III,,,,,,,,,,no_nyse_sample_match
UPGD,NYSE ARCA,ETF,Invesco Exchange-Traded Fund Trust - Invesco Raymond James SB-1 Equity ETF,,,,,,,,,,name_mismatch
USFE,NYSE ARCA,ETF,First Eagle ETF Trust,,,,,,,,,,no_nyse_sample_match
UTL,NYSE,Stock,UNITIL Corporation,UTL,Unitil Corporation,Common Stock,A,US9132591077,,,US9132591077,,accept_isin
VACH,NASDAQ,Stock,Voyager Acquisition Corp,,,,,,,,,,name_mismatch
VAVX,NASDAQ,ETF,VanEck Avalanche ETF Common Shares of Beneficial Interest,,,,,,,,,,no_nyse_sample_match
VCIC,NASDAQ,Stock,Vine Hill Capital Investment Corp. Class A Ordinary Shares,VCIC,Vine Hill Capital Investment Corp,CL A ORD USD0.0001,A,KYG93Y091070,,,,,no_update
VGNT,NYSE,Stock,Versigent PLC Ordinary Shares,,,,,,,,,,no_nyse_sample_match
VIXI,NASDAQ,ETF,Defiance Enhanced Long Vol ETF,,,,,,,,,,no_nyse_sample_match
VOXP,BATS,ETF,Vox Populi ETF,,,,,,,,,,no_nyse_sample_match
VRXA,NASDAQ,Stock,Veraxa Biotech AG,,,,,,,,,,no_nyse_sample_match
VUS,NYSE ARCA,ETF,Virtus U.S. Dividend ETF,,,,,,,,,,no_nyse_sample_match
WDEF,NYSE ARCA,ETF,WisdomTree Europe Defense Fund,,,,,,,,,,no_nyse_sample_match
WDTE,NYSE ARCA,ETF,Defiance S&P 500 Enhanced Options 0DTE Income ETF,WDTE,Tidal Trust II,Defiance S&P 500 Enhanced Options & 0DTE Income ETF,ETF,US88636J1473,EQUITY,ACTIVE,US88636J1473,,accept_isin
WENC,NYSE,Stock,West Enclave Merger Corp. Ordinary Shares,,,,,,,,,,no_nyse_sample_match
WFF,NASDAQ,Stock,WF Holding Limited Ordinary Shares,,,,,,,,,,no_nyse_sample_match
WLDSW,NASDAQ,Stock,Wearable Devices Ltd.,WLDSW,Wearable Devices Ltd,WT EXP 042927,C,IL0012118126,,,,,no_update
WLII,NASDAQ,Stock,Willow Lane Acquisition Corp. II,,,,,,,,,,no_nyse_sample_match
WPAC,NYSE,Stock,White Pearl Acquisition Corp. Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
WSE,NASDAQ,Stock,Wise Group plc,,,,,,,,,,no_nyse_sample_match
WSTN,NASDAQ,Stock,Westin Acquisition Corp,,,,,,,,,,no_nyse_sample_match
WT,NYSE,ETF,WisdomTree Inc.,WT,"WisdomTree, Inc.",Common Stock,A,US97717P1049,,,,,no_update
WTID,NYSE ARCA,ETF,UBS ETRACS - ProShares Daily 3x Inverse Crude ETN,,,,,,,,,,name_mismatch
XFLH,NYSE,Stock,XFLH Capital Corporation Ordinary Shares,,,,,,,,,,no_nyse_sample_match
XKFS,NYSE ARCA,ETF,SPDR Kensho Future Security ETF,,,,,,,,,,no_nyse_sample_match
XKII,NYSE ARCA,ETF,SPDR Kensho Intelligent Structures ETF,,,,,,,,,,no_nyse_sample_match
XKST,NYSE ARCA,ETF,SPDR S&P Kensho Smart Mobility ETF,,,,,,,,,,no_nyse_sample_match
XPM,NASDAQ,ETF,Defiance Daily Target 2X Long PM ETF,,,,,,,,,,no_nyse_sample_match
XRPI,NASDAQ,ETF,XRP ETF,,,,,,,,,,no_nyse_sample_match
XXXX,NYSE ARCA,ETF,MAX S&P 500 4X Leveraged ETN,,,,,,,,,,no_nyse_sample_match
YCY,NYSE,Stock,AA Mission Acquisition Corp. II Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
ZIVB,BATS,ETF,Volatility Shares Trust -1x Short VIX Mid-Term Futures Strategy ETF,,,,,,,,,,no_nyse_sample_match
